doctor_id,first_name,last_name,specialty,phone_number,email
1,Lisa,Williams,Pediatrics,9625392303,gibsonchristopher@smith.net
2,Sandra,Rhodes,General Medicine,9313032569,parkerronald@yahoo.com
3,Allison,Robinson,Neurology,8952075857,candice37@williams.com
4,Dennis,Price,Orthopedics,9310081482,billy81@gmail.com
5,Cynthia,Phillips,Cardiology,9309890153,bethjones@rubio.com
6,Joe,Rose,Pediatrics,9376339660,ojohnson@hotmail.com
7,Michael,Valdez,General Medicine,9117649637,williamskimberly@hansen-anderson.com
8,Benjamin,Ortiz,Neurology,9037362206,westchloe@hotmail.com
9,Javier,Martin,Orthopedics,9013599726,garciatabitha@hotmail.com
10,Michael,Bennett,Cardiology,9349006147,raymondbrown@yahoo.com
11,Mallory,Rice,Pediatrics,9242669061,twright@villarreal-clark.com
12,Terri,Dawson,General Medicine,9662298900,grosslisa@lewis.com
13,Edwin,Pope,Neurology,9504242996,leebrandon@brown.com
14,Mary,Kramer,Orthopedics,9194513552,nmitchell@gmail.com
15,Wyatt,Porter,Cardiology,9487161906,rbryant@nunez-mcmahon.com
16,Michael,Huber,Pediatrics,9122396956,thomasglenn@hotmail.com
17,Eric,Juarez,General Medicine,9058430478,lopezsamantha@young.info
18,Cristina,Patterson,Neurology,9132121480,ryan89@gmail.com
19,Tamara,Guerrero,Orthopedics,9239395298,hannah14@banks-mcintyre.net
20,Chad,Cortez,Cardiology,9386880266,norma11@hotmail.com
